,model_features,model_depth,mean_mae,std_mae
436,15,17,33.28074707334813,6.11727537344572
437,15,18,31.958769090319798,5.927646167508451
438,15,19,31.297761154189978,6.574948438744976
439,15,20,30.354232201453232,6.164339353081598
440,15,21,29.720901982071645,5.747475233012546
441,15,22,29.40553350641224,5.833323272891023
442,15,23,29.058571606779047,6.149597427070551
443,15,24,29.09287868561581,5.71123954436814
444,15,25,29.254545820468003,6.129895266103255
445,15,26,29.108666790985637,6.131658287226134
446,15,27,29.072486896889593,6.255019304618864
447,15,28,29.001325427695367,5.992849453563598
448,15,29,28.98570313709296,5.7572428062008925
449,15,30,28.808441742885304,5.717460658228016
450,16,1,302.4918350965509,35.72154374574951
451,16,2,282.2901849915973,34.015420113563714
452,16,3,252.52035347883867,25.443848968083522
453,16,4,227.30838158039592,21.141164338112347
454,16,5,208.4849514694394,19.53603226031851
455,16,6,184.79817448694044,17.480301089521106
456,16,7,158.85938913894606,15.773858580934961
457,16,8,134.1120313227138,13.093315687607637
458,16,9,111.09706002725406,12.21028013507206
459,16,10,90.76557720482283,10.065920796399183
460,16,11,74.79201920417869,8.49884211235827
461,16,12,61.95784372678429,7.253866748181054
462,16,13,53.017470726471856,6.54331943266656
463,16,14,45.25783494372954,6.6692520118939935
464,16,15,40.41175466835276,6.608209825910767
465,16,16,37.00203092542248,5.952234865027547
466,16,17,33.959511316250925,6.109410409499953
467,16,18,31.84661873479891,5.972146599183957
468,16,19,31.020885890955817,5.883721116671609
469,16,20,30.420656144975347,6.426640828499631
470,16,21,29.718024219370996,5.982475210058345
471,16,22,29.06093249671264,5.651821403210328
472,16,23,29.482706520453558,5.844498326530295
473,16,24,29.150983620806652,6.396796181349307
474,16,25,28.61761510746759,5.879469135350741
475,16,26,28.438861283439792,6.068198957116338
476,16,27,28.56573961193705,5.888597630251831
477,16,28,28.495101603828914,5.746214417145764
478,16,29,28.60307755459876,5.977456718073112
479,16,30,28.701962782234755,5.975500682802864
480,17,1,302.30731322862226,35.5510929106887
481,17,2,282.6904879698533,34.011018306396764
482,17,3,252.1431689683799,25.026832344144335
483,17,4,228.751005384023,21.078727584037416
484,17,5,209.73965157896936,20.57647947140828
485,17,6,187.86292542652637,18.474788748738018
486,17,7,161.59645895029263,16.826330511194215
487,17,8,135.9901560189919,14.439825792717786
488,17,9,113.57938985501855,13.283227292612484
489,17,10,93.20868661065427,11.226242085430172
490,17,11,76.33630032464602,9.1831417473754
491,17,12,64.06181930406692,9.31378170399456
492,17,13,53.75290866867313,7.233213087719762
493,17,14,46.599258287491025,6.228644281388479
494,17,15,41.00634701756318,6.713551781524352
495,17,16,37.70159507966176,6.835595861828286
496,17,17,34.73776043636482,6.442730440158769
497,17,18,32.18108113043013,6.653516122762244
498,17,19,31.09050592848708,6.053545831788083
499,17,20,30.757813441934637,6.19299311553134
500,17,21,29.8757094266669,6.244764800989328
501,17,22,29.65693426065868,6.302047908840778
502,17,23,29.610348345724297,6.277359868114078
503,17,24,29.117088027684986,6.265501648074762
504,17,25,29.37324663844322,6.423350374451235
505,17,26,29.08357244373037,6.563464836335836
506,17,27,29.090099857394584,6.829420209581878
507,17,28,29.178815231826036,6.603759044232949
508,17,29,29.489384523599234,6.639614038742979
509,17,30,29.55378856297014,6.669023860623392
510,18,1,302.1214329976294,35.589279829225596
511,18,2,282.55590319101657,33.77972485707524
512,18,3,251.4587859452463,25.20970390383157
513,18,4,227.64973417823867,21.52328306586649
514,18,5,209.46247654811154,19.21310952090544
515,18,6,187.21216977157104,18.235406063141756
516,18,7,160.86907777486914,16.314896643812908
